0;dater;04.01.2023;
0;numdv;11;
0;unom;1;
0;uisp;1;
0;pnom;1,6;
0;pisp;1600;
0;polus;1;
0;polusisp;1;
0;tipdv;Усиленный;
0;regim;нагрузка;
0;IE;1;
0;osobenn;1;
0;humi;1;
0;pressure;1;
0;stendn;ОМА 2041-00-00ПС;
0;stenda;14.03.19г-14.03.24г;
0;prim;1;
0;fio;Иванов А. А.;
1;st11;;
1;st12;;
1;st13;;
1;st21;;
1;st22;;
1;st23;;
1;st31;;
1;st32;;
1;st33;;
1;fsoed;;
1;fprizn;;
1;stred1;;
1;rizoled;;
1;rizolvk;;
1;rizolob;;
1;tempersopr1;;
1;tempersopr2;;
1;tempersopr3;;
1;stred2;;
1;u1hh;;
1;u2hh;;
1;u3hh;;
1;u4hh;;
1;u5hh;;
1;u6hh;;
1;u7hh;;
1;u8hh;;
1;u9hh;;
1;u10hh;;
1;u11hh;;
1;u12hh;;
1;i1hh;;
1;i2hh;;
1;i3hh;;
1;i4hh;;
1;i5hh;;
1;i6hh;;
1;i7hh;;
1;i8hh;;
1;i9hh;;
1;i10hh;;
1;i11hh;;
1;i12hh;;
1;p1hh;;
1;p2hh;;
1;p3hh;;
1;p4hh;;
1;p5hh;;
1;p6hh;;
1;p7hh;;
1;p8hh;;
1;p9hh;;
1;p10hh;;
1;p11hh;;
1;p12hh;;
1;r1hh;;
1;r2hh;;
1;r3hh;;
1;r4hh;;
1;r5hh;;
1;r6hh;;
1;r7hh;;
1;r8hh;;
1;r9hh;;
1;r10hh;;
1;r11hh;;
1;r12hh;;
1;stred3;Ом;
1;stred4;;
