0;dater;04.01.2023;
0;numdv;04012023;
0;urab;380;
0;prab;4;
0;polus;2;
0;tipdv;АИР100Л4;
0;regim;режим обычный;
0;IE;IE4;
0;osobenn;Нет;
0;humi;70;
0;pressure;101;
0;stendn;БМ 1186-00-00;
0;stenda;10.03.19г-10.03.26г;
0;prim;Норма;
1;st11;1;
1;st12;4;
1;st13;7;
1;st21;2;
1;st22;5;
1;st23;8;
1;st31;3;
1;st32;6;
1;st33;9;
1;fsoed;Звезда;
1;fprizn;1;
1;stred;МОм;
1;rizoled;МОм;
1;rizolvk;500;
1;rizolob;500;
1;tempersopr1;21,00;
1;tempersopr2;22,00;
1;tempersopr3;23,00;
1;u1hh;494,3;
1;u2hh;494,1;
1;u3hh;494,9;
1;u4hh;495;
1;u5hh;;
1;u6hh;;
1;u7hh;;
1;u8hh;;
1;u9hh;;
1;u10hh;;
1;u11hh;;
1;u12hh;;
1;i1hh;7,1;
1;i2hh;7,01;
1;i3hh;7;
1;i4hh;6,99;
1;i5hh;;
1;i6hh;;
1;i7hh;;
1;i8hh;;
1;i9hh;;
1;i10hh;;
1;i11hh;;
1;i12hh;;
1;p1hh;1600;
1;p2hh;1660,5;
1;p3hh;1628,2;
1;p4hh;1660;
1;p5hh;;
1;p6hh;;
1;p7hh;;
1;p8hh;;
1;p9hh;;
1;p10hh;;
1;p11hh;;
1;p12hh;;
1;r1hh;1,2;
1;r2hh;1,3;
1;r3hh;1,4;
1;r4hh;1,5;
1;r5hh;;
1;r6hh;;
1;r7hh;;
1;r8hh;;
1;r9hh;;
1;r10hh;;
1;r11hh;;
1;r12hh;;
