0;dater;03.01.2023;
0;numdv;11223344;
0;unom;380;
0;uisp;380;
0;pnom;4;
0;pisp;4;
0;polus;4;
0;polusisp;4;
0;tipdv;¿»–100À4;
0;regim;S1;
0;IE;IE1;
0;osobenn;;
0;humi;45;
0;pressure;99;
0;stendn;¡Ã 1186-00-00;
0;stenda;10.03.19„-10.03.26„;
0;prim;;
1;st11;1;
1;st12;4;
1;st13;7;
1;st21;0;
1;st22;0;
1;st23;78;
1;st31;3;
1;st32;6;
1;st33;0;
1;fsoed;«‚ÂÁ‰‡;
1;fprizn;1;
1;stred;ŒÏ;
1;rizoled;ÃŒÏ;
1;rizolvk;500;
1;rizolob;500;
1;tempersopr1;21,0;
1;tempersopr2;33,0;
1;tempersopr3;25,0;
1;u1hh;379,8;
1;u2hh;361,6;
1;u3hh;342,1;
1;u4hh;323,4;
1;u5hh;227,8;
1;u6hh;113,3;
1;u7hh;;
1;u8hh;;
1;u9hh;;
1;u10hh;;
1;u11hh;;
1;u12hh;;
1;i1hh;2,24;
1;i2hh;2,06;
1;i3hh;1,89;
1;i4hh;1,75;
1;i5hh;1,18;
1;i6hh;0,94;
1;i7hh;;
1;i8hh;;
1;i9hh;;
1;i10hh;;
1;i11hh;;
1;i12hh;;
1;p1hh;258,8;
1;p2hh;245;
1;p3hh;230,8;
1;p4hh;219,4;
1;p5hh;175,8;
1;p6hh;146,8;
1;p7hh;;
1;p8hh;;
1;p9hh;;
1;p10hh;;
1;p11hh;;
1;p12hh;;
1;r1hh;0;
1;r2hh;0;
1;r3hh;1,5;
1;r4hh;1,3;
1;r5hh;0;
1;r6hh;1,4;
1;r7hh;;
1;r8hh;;
1;r9hh;;
1;r10hh;;
1;r11hh;;
1;r12hh;;
